"","x","var","prob","mod","class","cat"
"229",0.0810810810810811,"x2",0.633333333333333,"rad","Pareto Distance","paret"
"230",0.0810810810810811,"x2",0.776666666666667,"lin","Pareto Distance","paret"
"231",0.0810810810810811,"x2",1,"pol","Pareto Distance","paret"
"232",0.0810810810810811,"x2",1,"sig","Pareto Distance","paret"
"233",0.0810810810810811,"x2",0.288,"rad","Utopia Distance","paret"
"234",0.0810810810810811,"x2",0.212666666666667,"lin","Utopia Distance","paret"
"235",0.0810810810810811,"x2",0,"pol","Utopia Distance","paret"
"236",0.0810810810810811,"x2",0.00133333333333333,"sig","Utopia Distance","paret"
"237",0.0810810810810811,"x2",0.63,"rad","Threshold Cutoff","paret"
"238",0.0810810810810811,"x2",0.816666666666667,"lin","Threshold Cutoff","paret"
"239",0.0810810810810811,"x2",1,"pol","Threshold Cutoff","paret"
"240",0.0810810810810811,"x2",1,"sig","Threshold Cutoff","paret"
"241",0.0810810810810811,"x3",0.503333333333333,"rad","Pareto Distance","paret"
"242",0.0810810810810811,"x3",0.606,"lin","Pareto Distance","paret"
"243",0.0810810810810811,"x3",1,"pol","Pareto Distance","paret"
"244",0.0810810810810811,"x3",1,"sig","Pareto Distance","paret"
"245",0.0810810810810811,"x3",0,"rad","Utopia Distance","paret"
"246",0.0810810810810811,"x3",0,"lin","Utopia Distance","paret"
"247",0.0810810810810811,"x3",0,"pol","Utopia Distance","paret"
"248",0.0810810810810811,"x3",0,"sig","Utopia Distance","paret"
"249",0.0810810810810811,"x3",0.477333333333333,"rad","Threshold Cutoff","paret"
"250",0.0810810810810811,"x3",0.536,"lin","Threshold Cutoff","paret"
"251",0.0810810810810811,"x3",1,"pol","Threshold Cutoff","paret"
"252",0.0810810810810811,"x3",1,"sig","Threshold Cutoff","paret"
"253",0.0945945945945946,"x1",0.458,"rad","Pareto Distance","paret"
"254",0.0945945945945946,"x1",0.682666666666667,"lin","Pareto Distance","paret"
"255",0.0945945945945946,"x1",1,"pol","Pareto Distance","paret"
