"","X","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s","order"
"95",95,7.94183662474326,5.5,-2,-3.1436400610893,2.33083436903191,0.01453,43
"96",96,7.70169781238928,5.5,-2,0.7,2.0837884328943,0.014547,44
"97",97,10.8536507058394,0,-2,0.7,2.08667121778681,0.014518,45
"98",98,12.3308469015779,2.13135513535072,-1.99883520994032,-2.09226469244109,2.33396210179154,0.014469,46
"99",99,13.3952037252946,4.24997317639733,-2,-3.71329579886494,2.33205522022421,0.014524,47
"100",100,9.23601319234094,3.40906707997294,-2,-3.2337059393984,2.33184927406428,0.014524,48
"101",101,9.48825472031776,1.7734058558759,-2,0.7,2.08690124700081,0.014517,49
"102",102,11.7999290966283,3.05589892047738,-2,-0.393053199605558,2.2412234204168,0.014497,50
"103",103,13.5,0.122915213743498,-0.443525342817938,0.7,1.18262001278344,-0.00029595,51
"104",104,7.58349365719783,0.984324755196334,-1.1323358849038,-6.00966462829631,1.11825443761601,-0.00020115,52
"105",105,10.6877729242733,4.31246935830878,-2,-1.64095026571205,2.32361923164902,0.014515,53
"106",106,11.8871450709262,0,-2,-5.20960441435188,2.33211643909956,0.014524,54
"107",107,10.2215508062043,1.01334371276045,-0.658612814981495,-4.39272291202023,1.38372921256725,-0.00069808,55
"108",108,7.43695243994953,2.87251371813883,-1.4290422010245,-6.60429807995258,1.21430797945098,-0.0005296,56
"109",109,9.50109503805225,2.39573216043092,-2,-5.48066153418707,2.33208955751689,0.014524,57
"110",110,5.36007410312894,4.37469947126306,-2,-3.24757747025748,2.2422669977348,0.014727,58
"111",111,8.94051772949122,2.52948695542588,-2,-1.3475737601235,2.31597136766895,0.014511,59
"112",112,13.5,0,-2,-3.01225822349524,2.33175250079864,0.014524,60
"113",113,13.5,4.86341942826845,-0.252135927374199,-6.83366143505132,1.60268909703039,-0.0012477,61
"114",114,11.3151862092853,2.84769615342978,-2,-5.890330268066,2.33212952570107,0.014524,62
"115",115,10.6785863078216,4.19419323471584,-2,0.699999696000506,2.08715093638592,0.014515,63
"116",116,9.74217305450424,5.49999997274002,-2,-0.80611530963748,2.28568500814225,0.014501,64
"117",117,7.59920799797715,4.22844718936646,-2,-0.47418513191273,2.24888063944041,0.014512,65
"118",118,9.47231015094257,0.332940701637068,-2,0.7,2.0816863004308,0.014544,66
"119",119,13.5,1.85274809954029,-2,-1.75130894519681,2.32546334293862,0.014517,67
"120",120,13.5,1.21235391592534,-2,0.7,2.08715503803895,0.014515,68
"121",121,12.3023245847337,0.855315013035876,-2,-3.97745143414009,2.33208886511295,0.014524,69
"122",122,10.4387770848114,3.56595818568116,-0.508654832816712,-5.70962434273632,1.48982681518068,-0.00089506,70
"123",123,7.96849996625633,2.80916168353339,-0.244444410332765,-3.15066854098422,1.22711236612774,-0.00099288,71
"124",124,9.93552788565915,2.53621738562501,-0.948029456166923,-4.46210019481613,1.41783381912722,-0.00061702,72
"125",125,7.55757926457097,2.03864598829744,-0.982230790386418,-6.49778501968311,1.13667811938887,-0.00057588,73
"126",126,10.9209766523426,1.27186591810737,-2,0.7,2.0871306912305,0.014515,74
"127",127,7.51505762003906,2.12696816851537,-2,0.7,2.07133704185644,0.014609,75
"128",128,12.2987996270413,2.71961411882039,-2,0.7,2.08715497820146,0.014515,76
"129",129,12.6488251163795,4.64363188360779,-2,-0.235027965050471,2.2193794135419,0.014497,77
"130",130,13.5,3.96887265045738,-2,-7,2.33213048130419,0.014524,78
"131",131,10.9205024691655,2.66362984651994,-2,-3.76554695564075,2.33206244477295,0.014524,79
"132",132,9.67550511837573,3.22051518855825,-1.99999989359975,0.7,2.08710934139408,0.014516,80
"133",133,12.1614489255541,0,-2,-2.04134214881536,2.32864650738986,0.01452,81
"134",134,10.0660101864808,2.89218646654084,-0.756335794529589,-5.18816063455468,1.44383244034359,-0.00068946,82
"135",135,8.05779416478381,0.181914646437238,-2,-6.3753021823863,2.28105613442364,0.014815,83
"136",136,9.73152962761628,1.73510912134541,-0.65903798528888,-4.03219385511367,1.37176197945896,-0.00070899,84
"137",137,13.5,4.77362993348063,-0.110152073378453,0.7,1.1999235054472,-0.00011001,85
"138",138,7.80748386075421,5.15200425083902,-0.70981682867635,-1.10889776255963,1.32239562782246,-0.00070504,86
"139",139,8.4077985982983,1.12924516441395,-2,0.7,2.0756570793656,0.014576,87
"140",140,13.5,1.72493363259174,-2,-5.71315027862956,2.33212976143131,0.014524,88
"141",141,10.3199042028688,1.8308740293549e-07,-1.14920848968687,-0.351267904218181,1.30137237760797,-0.00052844,89
"142",142,13.5,3.44380172223692,-0.821584100137556,0.7,1.17416576297731,-0.0003946,90
"143",143,13.5,4.2497682035644,-0.806703360401541,-0.223414375971803,1.46021640401673,-0.00062688,91
"144",144,9.78041476429455,0,-2,-3.06364923748578,2.3303016821219,0.014532,92
"145",145,13.4999999329598,2.84559434322143,-0.839873363854667,-0.182365133344623,1.44601432889696,-0.00060594,93
"146",146,13.5,1.91651656114652,-0.785097133978199,0.7,1.17438642439556,-0.00038853,94
"147",147,9.10699503190473,2.79908767891774,-1.00120147326636,-3.87427259561727,1.35838806342746,-0.00060057,95
"148",148,12.1577787579621,0,-2,0.7,2.08713108865536,0.014515,96
"149",149,13.5,0.821251763555701,-0.0337499261995277,0.7,1.20477258956973,-4.7585e-05,97
"150",150,10.8262572659927,2.72124678577034,-1.99999993270975,-1.70001482052451,2.32465906301148,0.014516,98
"151",151,11.8369884449371,5.49999537149593,-2,-2.27796945103836,2.33009849306783,0.014521,99
"152",152,13.5,3.70137374254066,-0.938674359093809,-2.16530707350355,1.54011160085748,-0.00063194,100
