"","x","var","prob","method","psd","cat"
"336",3.36734693877551,"x2",0.4765,"SVM-rad",0.0111679843749891,"adapt"
"337",3.46938775510204,"x1",0,"SVM-pol",0,"adapt"
"338",3.46938775510204,"x1",0.019,"SVM-rad",0.00305278561317365,"adapt"
"339",3.46938775510204,"x2",0.5295,"SVM-pol",0.0111608635418591,"adapt"
"340",3.46938775510204,"x2",0.4655,"SVM-rad",0.0111536933344969,"adapt"
"341",3.57142857142857,"x1",0,"SVM-pol",0,"adapt"
"342",3.57142857142857,"x1",0,"SVM-rad",0,"adapt"
"343",3.57142857142857,"x2",0.5455,"SVM-pol",0.0111339514548969,"adapt"
"344",3.57142857142857,"x2",0.5005,"SVM-rad",0.0111803342973276,"adapt"
"345",3.6734693877551,"x1",0,"SVM-pol",0,"adapt"
"346",3.6734693877551,"x1",0,"SVM-rad",0,"adapt"
"347",3.6734693877551,"x2",0.525,"SVM-pol",0.0111663557170636,"adapt"
"348",3.6734693877551,"x2",0.472,"SVM-rad",0.0111627953488362,"adapt"
"349",3.77551020408163,"x1",0,"SVM-pol",0,"adapt"
"350",3.77551020408163,"x1",0,"SVM-rad",0,"adapt"
"351",3.77551020408163,"x2",0.5135,"SVM-pol",0.0111762639106277,"adapt"
"352",3.77551020408163,"x2",0.4565,"SVM-rad",0.0111379475218731,"adapt"
"353",3.87755102040816,"x1",0,"SVM-pol",0,"adapt"
"354",3.87755102040816,"x1",0,"SVM-rad",0,"adapt"
"355",3.87755102040816,"x2",0.5075,"SVM-pol",0.0111790820285031,"adapt"
