"","x","prob","psd","var","cat"
"25%39",3.97959183673469,1.11267810597308e-41,8.07101689581086e-41,"x1","start"
"25%40",4.08163265306122,5.83560852570115e-44,3.47355122992673e-43,"x1","start"
"25%41",4.18367346938776,5.08272464962878e-46,3.33986959797025e-45,"x1","start"
"25%42",4.28571428571429,4.48758582760218e-47,2.44846600740821e-46,"x1","start"
"25%43",4.38775510204082,2.46292234942372e-47,1.32402145479698e-46,"x1","start"
"25%44",4.48979591836735,1.39871885860833e-46,6.97390211024171e-46,"x1","start"
"25%45",4.59183673469388,1.53963638212368e-44,5.41268871669098e-44,"x1","start"
"25%46",4.69387755102041,3.36883799973937e-42,1.22044480107589e-41,"x1","start"
"25%47",4.79591836734694,9.3394253974291e-40,3.39008575621292e-39,"x1","start"
"25%48",4.89795918367347,1.9921505080031e-37,6.88317183205274e-37,"x1","start"
"25%49",5,2.62552032830118e-35,9.04284769314911e-35,"x1","start"
"25%50",0,0,0,"x2","start"
"25%110",0.102040816326531,0,0,"x2","start"
"25%210",0.204081632653061,9.72955799040046e-263,0,"x2","start"
"25%310",0.306122448979592,2.30200721779472e-122,8.61730720072914e-121,"x2","start"
"25%410",0.408163265306122,4.57824739979524e-82,1.58546839038501e-80,"x2","start"
"25%51",0.510204081632653,1.68092792680054e-66,4.23759158288153e-65,"x2","start"
"25%61",0.612244897959184,4.13808230819115e-57,1.12316552464744e-55,"x2","start"
"25%71",0.714285714285714,7.70626199044718e-43,1.2154576669006e-41,"x2","start"
"25%81",0.816326530612245,7.4877219432444e-34,1.32861348641075e-32,"x2","start"
"25%91",0.918367346938776,2.75717445011871e-36,6.15427905624094e-35,"x2","start"
"25%101",1.02040816326531,8.36642630092804e-29,2.51607548283305e-27,"x2","start"
"25%111",1.12244897959184,0.282714912668861,0.446760598502806,"x2","start"
"25%121",1.22448979591837,0.421983895131405,0.492489720182844,"x2","start"
"25%131",1.3265306122449,0.449059406212967,0.497301530974258,"x2","start"
"25%141",1.42857142857143,0.489353957238377,0.499369186823582,"x2","start"
"25%151",1.53061224489796,0.321306713091119,0.467106619061982,"x2","start"
"25%161",1.63265306122449,0.265981051463948,0.43955918008146,"x2","start"
"25%171",1.73469387755102,0.21431420014857,0.402865029981593,"x2","start"
"25%181",1.83673469387755,0.174686722389075,0.363701015968855,"x2","start"
"25%191",1.93877551020408,0.170389877763338,0.350450133507024,"x2","start"
"25%201",2.04081632653061,0.142135209510508,0.311363522945206,"x2","start"
"25%211",2.14285714285714,0.142815455722311,0.305429758378962,"x2","start"
"25%221",2.24489795918367,0.0577773142517619,0.167332730311601,"x2","start"
