"","group","probs","E01","E02","type","str"
"222","CN",0.314197137932937,1.48,1.43,"Withdrawing",-8
"223","CN",0.279939881586753,1.096,1.079,"Withdrawing",-8
"224","CN",0.175016028508025,0.886,0.856,"Withdrawing",-8
"225","CN",0.265037369606623,1.178,1.122,"Withdrawing",-8
"226","CN",0.314197137932937,1.48,1.43,"Withdrawing",-8
"227","CN",0.279939881586753,1.096,1.079,"Withdrawing",-8
"228","CN",0.123658753767648,0.814,0.72,"Withdrawing",-8
"229","CN",0.265037369606623,1.178,1.122,"Withdrawing",-8
"230","CN",0.314197137932937,1.48,1.43,"Withdrawing",-8
"231","CN",0.21355853107031,0.815,0.734,"Withdrawing",-8
"232","CN",0.314197137932937,1.48,1.43,"Withdrawing",-8
"233","COOH",0.755458247463284,0.592,-0.068,"Withdrawing",-5
"234","COOH",0.086214490763332,0.77,0.125,"Withdrawing",-5
"235","COOH",0.763747107695709,0.997,-0.252,"Withdrawing",-5
"236","COOH",0.0993976426416157,0.988,-0.106,"Withdrawing",-5
"237","COOH",0.278049756412852,1.149,-0.065,"Withdrawing",-5
"238","COOH",0.0243039292985957,1.278,0.068,"Withdrawing",-5
"239","COOH",0.086214490763332,0.77,0.125,"Withdrawing",-5
"240","COOH",0.278049756412852,1.149,-0.065,"Withdrawing",-5
"241","COOH",0.0243039292985957,1.278,0.068,"Withdrawing",-5
"242","COOH",0.763747107695709,0.997,-0.252,"Withdrawing",-5
"243","COOH",0.278049756412852,1.149,-0.065,"Withdrawing",-5
"244","COOH",0.0243039292985957,1.278,0.068,"Withdrawing",-5
"245","COOH",0.0993976426416157,0.988,-0.106,"Withdrawing",-5
"246","COOH",0.0243039292985957,1.278,0.068,"Withdrawing",-5
"247","SO3-",0.764337843335284,0.184,0.16,"Withdrawing",-8
"248","SO3-",0.781377298343353,0.184,0.265,"Withdrawing",-8
"249","SO3-",0.742083591375442,0.307,0.27,"Withdrawing",-8
"250","SO3-",0.701866862725962,0.302,0.269,"Withdrawing",-8
"251","SO3-",0.773136113320843,0.256,0.353,"Withdrawing",-8
"252","SO3-",0.744601797862607,0.084,0.348,"Withdrawing",-8
