"","group","probs","E01","E02","type","str"
"170","SiH3",0.666264346338027,0.194,0.151,"?",NA
"171","SiH3",0.101523856009769,0.233,0.272,"?",NA
"172","SiH3",0.0972290063236152,0.247,0.322,"?",NA
"173","SiH3",0.747786729673931,0.203,0.148,"?",NA
"174","SiH3",0.0972290063236152,0.247,0.322,"?",NA
"175","CHO",0.67849559357929,0.393,0.362,"Withdrawing",-2
"176","CHO",0.131654517652849,0.658,0.835,"Withdrawing",-2
"177","CHO",0.535628266643415,0.628,0.569,"Withdrawing",-2
"178","CHO",0.10363046048186,0.634,0.673,"Withdrawing",-2
"179","CHO",0.0916573969344124,0.796,0.978,"Withdrawing",-2
"180","CHO",0.100411030838535,0.873,1.005,"Withdrawing",-2
"181","CHO",0.131654517652849,0.658,0.835,"Withdrawing",-2
"182","CHO",0.0916573969344124,0.796,0.978,"Withdrawing",-2
"183","CHO",0.100411030838535,0.873,1.005,"Withdrawing",-2
"184","CHO",0.535628266643415,0.628,0.569,"Withdrawing",-2
"185","CHO",0.0916573969344124,0.796,0.978,"Withdrawing",-2
"186","CHO",0.100411030838535,0.873,1.005,"Withdrawing",-2
"187","CHO",0.10363046048186,0.634,0.673,"Withdrawing",-2
"188","CHO",0.100411030838535,0.873,1.005,"Withdrawing",-2
"189","COOCH3",0.783490859058254,0.339,0.26,"Withdrawing",-4
"190","COOCH3",0.706775594359041,0.445,0.417,"Withdrawing",-4
"191","COOCH3",0.809660365300833,0.49,0.398,"Withdrawing",-4
"192","COOCH3",0.593124284911916,0.518,0.437,"Withdrawing",-4
"193","COOCH3",0.715122569945296,0.586,0.559,"Withdrawing",-4
"194","COOCH3",0.0972491279708882,0.744,0.68,"Withdrawing",-4
"195","COOCH3",0.706775594359041,0.445,0.417,"Withdrawing",-4
"196","COOCH3",0.715122569945296,0.586,0.559,"Withdrawing",-4
"197","COOCH3",0.0972491279708882,0.744,0.68,"Withdrawing",-4
"198","COOCH3",0.809660365300833,0.49,0.398,"Withdrawing",-4
"199","COOCH3",0.715122569945296,0.586,0.559,"Withdrawing",-4
"200","COOCH3",0.0972491279708882,0.744,0.68,"Withdrawing",-4
"201","COOCH3",0.593124284911916,0.518,0.437,"Withdrawing",-4
"202","COOCH3",0.0972491279708882,0.744,0.68,"Withdrawing",-4
"203","CF3",0.64142735343695,0.365,0.263,"Withdrawing",-7
"204","CF3",0.654481984952717,0.365,0.263,"Withdrawing",-7
"205","CF3",0.10175874448048,0.614,0.487,"Withdrawing",-7
"206","CF3",0.189419142377109,0.62,0.496,"Withdrawing",-7
"207","CF3",0.259501733539953,0.845,0.748,"Withdrawing",-7
"208","CF3",0.429890207077199,0.972,0.902,"Withdrawing",-7
"209","CF3",0.654481984952717,0.365,0.263,"Withdrawing",-7
"210","CF3",0.259501733539953,0.845,0.748,"Withdrawing",-7
"211","CF3",0.429890207077199,0.972,0.902,"Withdrawing",-7
"212","CF3",0.10175874448048,0.614,0.487,"Withdrawing",-7
"213","CF3",0.259501733539953,0.845,0.748,"Withdrawing",-7
"214","CF3",0.429890207077199,0.972,0.902,"Withdrawing",-7
"215","CF3",0.189419142377109,0.62,0.496,"Withdrawing",-7
"216","CF3",0.429890207077199,0.972,0.902,"Withdrawing",-7
"217","CN",0.194104302302375,0.479,0.401,"Withdrawing",-8
"218","CN",0.352306503739775,0.886,0.856,"Withdrawing",-8
"219","CN",0.18863478609604,0.814,0.72,"Withdrawing",-8
"220","CN",0.324150241750673,0.815,0.734,"Withdrawing",-8
"221","CN",0.439256571067439,1.178,1.122,"Withdrawing",-8
"222","CN",0.458713625668075,1.48,1.43,"Withdrawing",-8
"223","CN",0.446806000394603,1.096,1.079,"Withdrawing",-8
"224","CN",0.352306503739775,0.886,0.856,"Withdrawing",-8
"225","CN",0.439256571067439,1.178,1.122,"Withdrawing",-8
"226","CN",0.458713625668075,1.48,1.43,"Withdrawing",-8
"227","CN",0.446806000394603,1.096,1.079,"Withdrawing",-8
"228","CN",0.18863478609604,0.814,0.72,"Withdrawing",-8
"229","CN",0.439256571067439,1.178,1.122,"Withdrawing",-8
"230","CN",0.458713625668075,1.48,1.43,"Withdrawing",-8
"231","CN",0.324150241750673,0.815,0.734,"Withdrawing",-8
"232","CN",0.458713625668075,1.48,1.43,"Withdrawing",-8
"233","COOH",0.744805535008476,0.592,-0.068,"Withdrawing",-5
"234","COOH",0.112758476561895,0.77,0.125,"Withdrawing",-5
"235","COOH",0.753785178789332,0.997,-0.252,"Withdrawing",-5
"236","COOH",0.122764717649892,0.988,-0.106,"Withdrawing",-5
"237","COOH",0.252289948708804,1.149,-0.065,"Withdrawing",-5
"238","COOH",0.103655512065788,1.278,0.068,"Withdrawing",-5
"239","COOH",0.112758476561895,0.77,0.125,"Withdrawing",-5
"240","COOH",0.252289948708804,1.149,-0.065,"Withdrawing",-5
"241","COOH",0.103655512065788,1.278,0.068,"Withdrawing",-5
"242","COOH",0.753785178789332,0.997,-0.252,"Withdrawing",-5
"243","COOH",0.252289948708804,1.149,-0.065,"Withdrawing",-5
"244","COOH",0.103655512065788,1.278,0.068,"Withdrawing",-5
"245","COOH",0.122764717649892,0.988,-0.106,"Withdrawing",-5
"246","COOH",0.103655512065788,1.278,0.068,"Withdrawing",-5
"247","SO3-",0.795054042586972,0.184,0.16,"Withdrawing",-8
"248","SO3-",0.787992267984262,0.184,0.265,"Withdrawing",-8
"249","SO3-",0.747913820310297,0.307,0.27,"Withdrawing",-8
"250","SO3-",0.735012936445574,0.302,0.269,"Withdrawing",-8
"251","SO3-",0.798599460730254,0.256,0.353,"Withdrawing",-8
"252","SO3-",0.807738217342272,0.084,0.348,"Withdrawing",-8
"253","SO3-",0.787992267984262,0.184,0.265,"Withdrawing",-8
"254","SO3-",0.798599460730254,0.256,0.353,"Withdrawing",-8
"255","SO3-",0.807738217342272,0.084,0.348,"Withdrawing",-8
"256","SO3-",0.747913820310297,0.307,0.27,"Withdrawing",-8
"257","SO3-",0.798599460730254,0.256,0.353,"Withdrawing",-8
"258","SO3-",0.807738217342272,0.084,0.348,"Withdrawing",-8
"259","SO3-",0.735012936445574,0.302,0.269,"Withdrawing",-8
"260","SO3-",0.807738217342272,0.084,0.348,"Withdrawing",-8
"261","NO2",0.0925328470397316,0.613,0.688,"Withdrawing",-12
"262","NO2",0.444364441732606,0.983,1.378,"Withdrawing",-12
"263","NO2",0.132996584782619,0.981,0.975,"Withdrawing",-12
"264","NO2",0.281103324115644,0.944,1.081,"Withdrawing",-12
"265","NO2",0.450681237783471,1.261,1.51,"Withdrawing",-12
"266","NO2",0.45854155131448,1.613,1.662,"Withdrawing",-12
"267","NO2",0.444364441732606,0.983,1.378,"Withdrawing",-12
"268","NO2",0.450681237783471,1.261,1.51,"Withdrawing",-12
"269","NO2",0.45854155131448,1.613,1.662,"Withdrawing",-12
"270","NO2",0.132996584782619,0.981,0.975,"Withdrawing",-12
"271","NO2",0.450681237783471,1.261,1.51,"Withdrawing",-12
"272","NO2",0.45854155131448,1.613,1.662,"Withdrawing",-12
"273","NO2",0.281103324115644,0.944,1.081,"Withdrawing",-12
"274","NO2",0.45854155131448,1.613,1.662,"Withdrawing",-12
"275","COCH3",0.808951050552717,0.276,0.299,"Withdrawing",-3
"276","COCH3",0.526457984221076,0.421,0.433,"Withdrawing",-3
"277","COCH3",0.745008868582376,0.463,0.363,"Withdrawing",-3
"278","COCH3",0.72159291292367,0.375,0.513,"Withdrawing",-3
"279","COCH3",0.710473430098058,0.557,0.518,"Withdrawing",-3
"280","COCH3",0.11067504808986,0.663,0.657,"Withdrawing",-3
"281","COCH3",0.526457984221076,0.421,0.433,"Withdrawing",-3
"282","COCH3",0.710473430098058,0.557,0.518,"Withdrawing",-3
"283","COCH3",0.11067504808986,0.663,0.657,"Withdrawing",-3
"284","COCH3",0.745008868582376,0.463,0.363,"Withdrawing",-3
"285","COCH3",0.710473430098058,0.557,0.518,"Withdrawing",-3
"286","COCH3",0.11067504808986,0.663,0.657,"Withdrawing",-3
"287","COCH3",0.72159291292367,0.375,0.513,"Withdrawing",-3
"288","COCH3",0.11067504808986,0.663,0.657,"Withdrawing",-3
